# r_pc rho_Msun_pc3 sigma1d_kms pressure_rho_sigma2 N_scatter_per_orbit
4.165034406432e-06 6.238311191793e+09 4.064852834356e+04 1.030757940192e+19 1.220661360765e-07
4.194139342578e-06 6.173488531155e+09 4.050724408910e+04 1.012968731257e+19 1.232772518581e-07
4.223447661750e-06 6.109339446896e+09 4.036645090447e+04 9.954865352693e+18 1.245003432662e-07
4.252960785176e-06 6.045856939840e+09 4.022614708281e+04 9.783060536804e+18 1.257355282636e-07
4.282680144010e-06 5.983034083541e+09 4.008633092323e+04 9.614220793880e+18 1.269829259697e-07
4.312607179409e-06 5.920864023524e+09 3.994700073073e+04 9.448294951552e+18 1.282426566722e-07
4.342743342602e-06 5.859339976541e+09 3.980815481622e+04 9.285232720609e+18 1.295148418383e-07
4.373090094957e-06 5.798455229829e+09 3.966979149645e+04 9.124984679745e+18 1.307996041264e-07
4.403648908054e-06 5.738203140377e+09 3.953190909405e+04 8.967502260589e+18 1.320970673975e-07
4.434421263758e-06 5.678577134203e+09 3.939450593748e+04 8.812737732982e+18 1.334073567273e-07
4.465408654288e-06 5.619570705634e+09 3.925758036098e+04 8.660644190509e+18 1.347305984176e-07
4.496612582290e-06 5.561177416600e+09 3.912113070462e+04 8.511175536285e+18 1.360669200084e-07
4.528034560911e-06 5.503390895928e+09 3.898515531420e+04 8.364286468981e+18 1.374164502903e-07
4.559676113873e-06 5.446204838648e+09 3.884965254130e+04 8.219932469099e+18 1.387793193162e-07
4.591538775543e-06 5.389613005307e+09 3.871462074321e+04 8.078069785472e+18 1.401556584140e-07
4.623624091012e-06 5.333609221285e+09 3.858005828295e+04 7.938655422011e+18 1.415456001987e-07
4.655933616168e-06 5.278187376123e+09 3.844596352921e+04 7.801647124666e+18 1.429492785855e-07
4.688468917769e-06 5.223341422857e+09 3.831233485636e+04 7.667003368628e+18 1.443668288018e-07
4.721231573525e-06 5.169065377358e+09 3.817917064442e+04 7.534683345736e+18 1.457983874005e-07
4.754223172169e-06 5.115353317675e+09 3.804646927903e+04 7.404646952114e+18 1.472440922725e-07
4.787445313535e-06 5.062199383397e+09 3.791422915145e+04 7.276854776012e+18 1.487040826602e-07
4.820899608639e-06 5.009597775007e+09 3.778244865854e+04 7.151268085865e+18 1.501784991706e-07
4.854587679752e-06 4.957542753249e+09 3.765112620272e+04 7.027848818551e+18 1.516674837880e-07
4.888511160482e-06 4.906028638507e+09 3.752026019197e+04 6.906559567857e+18 1.531711798884e-07
4.922671695855e-06 4.855049810181e+09 3.738984903979e+04 6.787363573140e+18 1.546897322523e-07
4.957070942390e-06 4.804600706076e+09 3.725989116522e+04 6.670224708188e+18 1.562232870786e-07
4.991710568181e-06 4.754675821792e+09 3.713038499276e+04 6.555107470266e+18 1.577719919986e-07
5.026592252980e-06 4.705269710128e+09 3.700132895242e+04 6.441976969361e+18 1.593359960899e-07
5.061717688276e-06 4.656376980483e+09 3.687272147964e+04 6.330798917606e+18 1.609154498902e-07
5.097088577379e-06 4.607992298272e+09 3.674456101531e+04 6.221539618885e+18 1.625105054120e-07
5.132706635502e-06 4.560110384341e+09 3.661684600576e+04 6.114165958624e+18 1.641213161565e-07
5.168573589841e-06 4.512726014393e+09 3.648957490267e+04 6.008645393753e+18 1.657480371287e-07
5.204691179665e-06 4.465834018415e+09 3.636274616316e+04 5.904945942842e+18 1.673908248512e-07
5.241061156395e-06 4.419429280118e+09 3.623635824966e+04 5.803036176410e+18 1.690498373798e-07
5.277685283690e-06 4.373506736376e+09 3.611040962998e+04 5.702885207396e+18 1.707252343182e-07
5.314565337535e-06 4.328061376673e+09 3.598489877724e+04 5.604462681803e+18 1.724171768327e-07
5.351703106325e-06 4.283088242561e+09 3.585982416986e+04 5.507738769491e+18 1.741258276679e-07
5.389100390951e-06 4.238582427111e+09 3.573518429158e+04 5.412684155144e+18 1.758513511618e-07
5.426759004891e-06 4.194539074386e+09 3.561097763138e+04 5.319270029379e+18 1.775939132615e-07
