# r[pc] rho[Msun/pc3] sigma[km/s] N gamma
3.458677376228787921e+02 5.118870748753938660e-01 3.055177074821746075e+01 2.323761046830540522e+01 2.119689824525913480e+00
3.544533341490296152e+02 4.857666374437881740e-01 3.052994232324606827e+01 2.259924864273169476e+01 2.151894904061105507e+00
3.633778811382595677e+02 4.602720208821321490e-01 3.050749137775068931e+01 2.195231441850457088e+01 2.183613649524966505e+00
3.726608895220963973e+02 4.354304630688663469e-01 3.048439689229190819e+01 2.129805165906167019e+01 2.214781083567649134e+00
3.823232205842430744e+02 4.112676263368241769e-01 3.046063648846422467e+01 2.063775492941105938e+01 2.245330203588439488e+00
3.923871815503677567e+02 3.878074275572774843e-01 3.043618626624546764e+01 1.997276465721537875e+01 2.275192153781084414e+00
4.028766263474015545e+02 3.650718714265563380e-01 3.041102062059799849e+01 1.930446162575919544e+01 2.304296434285937778e+00
4.138170613383392151e+02 3.430808888539961798e-01 3.038511203548848272e+01 1.863426079500528942e+01 2.332571150960419004e+00
4.252357557177734861e+02 3.218521824902394468e-01 3.035843085360577120e+01 1.796360445693509078e+01 2.359943308782899152e+00
4.371618560792918515e+02 3.014010815513057384e-01 3.033094502027479678e+01 1.729395474087974094e+01 2.386339153381900502e+00
4.496265044636105017e+02 2.817404082073750593e-01 3.030261980044420156e+01 1.662678549678424744e+01 2.411684563275255044e+00
4.626629589654812094e+02 2.628803578746372049e-01 3.027341746817987911e+01 1.596357359738904158e+01 2.435905496011550042e+00
4.763067156951802303e+02 2.448283957887671114e-01 3.024329696887771490e+01 1.530578971434662350e+01 2.458928490980181181e+00
4.905956305726724622e+02 2.275891722393993399e-01 3.021221355547994847e+01 1.465488863890854354e+01 2.480681230071887455e+00
5.055700390810771978e+02 2.111644587857862687e-01 3.018011840135693191e+01 1.401229923390863874e+01 2.501093157712571013e+00
5.212728716921194518e+02 1.955531076687734293e-01 3.014695819429244494e+01 1.337941412038512645e+01 2.520096159316647544e+00
5.377497622660855541e+02 1.807510364525725111e-01 3.011267471818340979e+01 1.275757921944344275e+01 2.537625296600015901e+00
5.550491462470578199e+02 1.667512396843290057e-01 3.007720443169749913e+01 1.214808328590338782e+01 2.553619595943647624e+00
5.732223450328324361e+02 1.535438290325319421e-01 3.004047805620863798e+01 1.155214758637947625e+01 2.568022883378834109e+00
5.923236324304320988e+02 1.411161029557934377e-01 3.000242018881709427e+01 1.097091588744694413e+01 2.580784658750285843e+00
6.124102786891353389e+02 1.294526464742642158e-01 2.996294896011944431e+01 1.040544493109417346e+01 2.591860996918899929e+00
6.335425672688554641e+02 1.185354610494517152e-01 2.992197576042887519e+01 9.856695582124345378e+00 2.601215462345017215e+00
6.557837792502831462e+02 1.083441239514718046e-01 2.987940506219943160e+01 9.325524835135871271e+00 2.608820019465504458e+00
6.792001402388792712e+02 9.885597580755997593e-02 2.983513437014208947e+01 8.812678866741128658e+00 2.614655918499490639e+00
7.038607247249816510e+02 9.004633430740936750e-02 2.978905433357715893e+01 8.318787309964379872e+00 2.618714533406080847e+00
7.298373132712666802e+02 8.188873131033458375e-02 2.974104905746191108e+01 7.844358912857813948e+00 2.620998124892686576e+00
7.572041986159099451e+02 7.435516987986368065e-02 2.969099664868615918e+01 7.389778720481916530e+00 2.621520502165864741e+00
7.860379377709629125e+02 6.741639711588437445e-02 2.963877003218490103e+01 6.955306889682092653e+00 2.620307552629725478e+00
8.164170486884153206e+02 6.104218807033964106e-02 2.958423806648114152e+01 6.541079209712733267e+00 2.617397610985825906e+00
8.484216517534989634e+02 5.520163557903753210e-02 2.952726698012794415e+01 6.147109358225462117e+00 2.612841640366724505e+00
8.821330585353529159e+02 4.986344054220297889e-02 2.946772213886899650e+01 5.773292875490946940e+00 2.606703200193479120e+00
9.176333125063115403e+02 4.499619706916777734e-02 2.940547013822800082e+01 5.419412788892048027e+00 2.599058181302972059e+00
9.550046889905776197e+02 4.056866698906030910e-02 2.934038119810976042e+01 5.085146769660392252e+00 2.589994294409940778e+00
9.943291640322647709e+02 3.655003852702535388e-02 2.927233181569142673e+01 4.770075655080678878e+00 2.579610306787685658e+00
1.035687864221621339e+03 3.291016445016813757e-02 2.920120761171924073e+01 4.473693126421348865e+00 2.568015030372833962e+00
1.079160511423811158e+03 2.961977567870746619e-02 2.912690628496111955e+01 4.195416296907842124e+00 2.555326075877296432e+00
1.124824877735150494e+03 2.665066720610956633e-02 2.904934057198511965e+01 3.934596938556635504e+00 2.541668396397000151e+00
1.172756266662931239e+03 2.397585412874635863e-02 2.896844109654816179e+01 3.690533062554501420e+00 2.527172654141814689e+00
1.223027036396588755e+03 2.156969660043602313e-02 2.888415898646433178e+01 3.462480566274326321e+00 2.511973454703039010e+00
1.275706179852713149e+03 1.940799354812100183e-02 2.879646813733316790e+01 3.249664671114914860e+00 2.496207495869882109e+00
1.330858974509430027e+03 1.746804594490292822e-02 2.870536701222828668e+01 3.051290898273006480e+00 2.480011686025378026e+00
1.388546712142936258e+03 1.572869129887452533e-02 2.861087988445351016e+01 2.866555361591926143e+00 2.463521288210756666e+00
1.448826515519089980e+03 1.417031173433432392e-02 2.851305745550576276e+01 2.694654197439288801e+00 2.446868141451552958e+00
1.511751245437694479e+03 1.277481858784411742e-02 2.841197681044047130e+01 2.534791995796159991e+00 2.430179010543490392e+00
1.577369497882999212e+03 1.152561680817433196e-02 2.830774070563376554e+01 2.386189143468167018e+00 2.413574107046002837e+00
1.645725687395499563e+03 1.040755263466218439e-02 2.820047621674242322e+01 2.248088035679591368e+00 2.397165814070739032e+00
1.716860209830565736e+03 9.406848044956556479e-03 2.809033280464812066e+01 2.119758154264974603e+00 2.381057639789261771e+00
1.790809674862591237e+03 8.511025337673908120e-03 2.797747988235536099e+01 2.000500046872359494e+00 2.365343413435347486e+00
1.867607196856547262e+03 7.708824974596548835e-03 2.786210398447880010e+01 1.889648271698089577e+00 2.350106725474489622e+00
1.947282731517350385e+03 6.990119482355279350e-03 2.774440565209129517e+01 1.786573394534093584e+00 2.335420607635555257e+00
2.029863445223804774e+03 6.345825838938995780e-03 2.762459614953648313e+01 1.690683140294855669e+00 2.321347437168768124e+00
2.115374104311807969e+03 5.767818371677751153e-03 2.750289412657444998e+01 1.601422809697537808e+00 2.307939045210325446e+00
2.203837472235391033e+03 5.248843796787012669e-03 2.737952233024424231e+01 1.518275074197497965e+00 2.295237005011102838e+00
2.295274703755399514e+03 4.782439654557658383e-03 2.725470445753778748e+01 1.440759260048349422e+00 2.283273070718053077e+00
2.389705726923844395e+03 4.362857051190361345e-03 2.712866222368002056e+01 1.368430226174191855e+00 2.272069739228257390e+00
2.487149605098783923e+03 3.984988318009459116e-03 2.700161270334431762e+01 1.300876931704842310e+00 2.261640906249354543e+00
2.587624873102501624e+03 3.644299943852812463e-03 2.687376598457204935e+01 1.237720778697915192e+00 2.251992588870436407e+00
2.691149843208006587e+03 3.336770927429520955e-03 2.674532315859067566e+01 1.178613804219473593e+00 2.243123690882057986e+00
2.797742878178450610e+03 3.058836531482036873e-03 2.661647465402537094e+01 1.123236784684982892e+00 2.235026788217879812e+00
2.907422629978192163e+03 2.807337295023637491e-03 2.648739891149275394e+01 1.071297304435705700e+00 2.227688915969579853e+00
3.020208243891045186e+03 2.579473069149040322e-03 2.635826138453233725e+01 1.022527830389176495e+00 2.221092341201739373e+00
3.136119528786638512e+03 2.372761780363029545e-03 2.622921384526887678e+01 9.766838255014171910e-01 2.215215308821385065e+00
3.255177095006192758e+03 2.185002587784825277e-03 2.610039396788697630e+01 9.335419257658380543e-01 2.210032751035086562e+00
3.377402461886936635e+03 2.014243082054814095e-03 2.597192515979724803e+01 8.928981986385244873e-01 2.205516953076525510e+00
3.502818137337006192e+03 1.858750169781758039e-03 2.584391660886385722e+01 8.545664950476888899e-01 2.201638169933957556e+00
